Frequency (Hz)	Level (dB)
1497.903442	-41.679649
1499.249268	-42.441879
1500.595093	-42.988415
1501.940918	-43.224335
1503.286743	-43.006939
1504.632568	-42.927258
1505.978394	-41.706017
1507.324219	-41.972008
1508.670044	-43.045631
1510.015869	-41.779800
1511.361694	-42.275303
1512.707520	-42.763298
1514.053345	-42.032791
1515.399170	-41.841640
1516.744995	-41.546787
1518.090820	-41.025284
1519.436646	-41.146202
1520.782471	-42.472691
1522.128296	-43.120369
1523.474121	-42.595451
1524.819946	-42.503223
1526.165771	-42.247120
1527.511597	-41.812588
1528.857422	-43.559219
1530.203247	-43.572437
1531.549072	-41.944462
1532.894897	-41.581394
1534.240723	-42.538258
1535.586548	-42.757645
1536.932373	-41.937263
1538.278198	-43.208015
1539.624023	-42.007973
1540.969849	-41.977009
1542.315674	-42.976318
1543.661499	-43.333046
1545.007324	-43.136562
1546.353149	-42.243408
1547.698975	-41.102139
1549.044800	-41.525452
1550.390625	-41.984940
1551.736450	-41.967773
1553.082275	-42.009697
1554.428101	-41.810234
1555.773926	-42.106915
1557.119751	-41.251419
1558.465576	-42.025406
1559.811401	-42.632092
1561.157227	-42.178249
1562.503052	-41.099293
1563.848877	-41.018559
1565.194702	-42.222816
1566.540527	-42.514748
1567.886353	-43.385868
1569.232178	-42.737366
1570.578003	-42.465874
1571.923828	-44.580753
1573.269653	-43.469143
1574.615479	-42.608921
1575.961304	-41.632278
1577.307129	-41.744411
1578.652954	-42.332535
1579.998779	-41.959240
1581.344604	-41.094715
1582.690430	-41.338806
1584.036255	-42.564030
1585.382080	-43.018250
1586.727905	-41.914768
1588.073730	-42.051449
1589.419556	-42.650955
1590.765381	-42.234882
1592.111206	-42.231121
1593.457031	-42.691296
1594.802856	-43.073250
1596.148682	-43.968761
1597.494507	-43.729580
1598.840332	-42.242104
1600.186157	-42.161221
1601.531982	-42.891586
1602.877808	-41.673565
1604.223633	-42.277557
1605.569458	-42.188290
1606.915283	-41.777397
1608.261108	-43.001591
1609.606934	-42.799782
1610.952759	-42.497189
1612.298584	-42.367489
1613.644409	-41.410435
1614.990234	-41.437431
1616.336060	-41.807987
1617.681885	-41.954853
1619.027710	-42.106049
1620.373535	-40.892265
1621.719360	-41.347492
1623.065186	-41.924133
1624.411011	-41.157482
